               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027071,            0.013477,           0.0076419,             0.85536,              0.8196,               0.898,             0.71141,              0.0304,           0.0060648,             0.02277,            0.009307,            0.009307,            0.009307
                  37,            0.024636,            0.012721,           0.0078481,             0.79589,             0.78779,             0.84235,             0.66563,            0.032916,           0.0067116,            0.034445,           0.0092872,           0.0092872,           0.0092872
                  38,            0.026349,            0.013486,           0.0077686,             0.84673,             0.86034,             0.92246,             0.74053,            0.031708,           0.0058316,            0.021083,           0.0092674,           0.0092674,           0.0092674
                  39,            0.023845,            0.012379,           0.0081087,             0.86089,             0.82995,             0.89351,             0.72176,            0.034096,           0.0056769,            0.022345,           0.0092476,           0.0092476,           0.0092476
                  40,            0.026791,            0.013585,           0.0073561,             0.83823,              0.8226,             0.89997,             0.71479,            0.037755,           0.0065618,             0.01864,           0.0092278,           0.0092278,           0.0092278
                  41,            0.025693,            0.012733,           0.0072044,             0.88449,             0.88465,             0.93778,             0.72884,            0.038762,           0.0058833,            0.015131,            0.009208,            0.009208,            0.009208
                  42,            0.025454,            0.013087,           0.0060637,             0.86687,              0.8205,             0.93703,             0.73723,            0.033253,           0.0060824,            0.015831,           0.0091882,           0.0091882,           0.0091882
                  43,            0.023364,            0.013037,           0.0067991,             0.90788,             0.86599,             0.93204,             0.73283,            0.032397,           0.0060012,            0.015998,           0.0091684,           0.0091684,           0.0091684
                  44,            0.024158,            0.012606,           0.0073113,             0.88447,             0.90188,             0.93977,             0.75114,            0.032744,           0.0063177,            0.016443,           0.0091486,           0.0091486,           0.0091486
                  45,            0.021815,            0.011784,            0.008136,             0.89244,              0.8706,             0.92835,              0.7306,            0.028319,           0.0057763,            0.020222,           0.0091288,           0.0091288,           0.0091288
                  46,            0.024375,            0.012601,           0.0061839,             0.92384,             0.89135,             0.95457,             0.76054,            0.032999,           0.0053699,            0.011272,            0.009109,            0.009109,            0.009109
                  47,            0.022026,            0.011939,           0.0066819,              0.8346,             0.71731,             0.83171,             0.67041,            0.037618,           0.0071882,            0.034861,           0.0090892,           0.0090892,           0.0090892
                  48,            0.021769,            0.011907,           0.0066413,             0.94251,             0.88139,             0.95158,             0.76081,            0.035957,           0.0059119,             0.01075,           0.0090694,           0.0090694,           0.0090694
                  49,            0.024242,            0.013267,           0.0057867,             0.86082,             0.81664,             0.89858,             0.73935,            0.037625,           0.0068846,            0.026141,           0.0090496,           0.0090496,           0.0090496
                  50,            0.021467,            0.013033,             0.00672,             0.87381,             0.81899,             0.92237,             0.76739,            0.030795,           0.0058528,            0.013779,           0.0090298,           0.0090298,           0.0090298
